iter	Logloss
0	0.690768743
1	0.6885400258
2	0.6865440102
3	0.6847332022
4	0.6830161805
5	0.6815513515
6	0.6799264532
7	0.67820752
8	0.6771962852
9	0.6757332292
10	0.6747072194
11	0.6737771714
12	0.6726488163
13	0.671716112
14	0.6707994312
15	0.6701273539
16	0.6693253914
17	0.6685872298
18	0.6677209074
19	0.6670594156
20	0.6664402582
21	0.6658384803
22	0.6652861175
23	0.664657044
24	0.6641211996
25	0.6635058937
26	0.6630571132
27	0.6625329874
28	0.6620701918
29	0.6616715356
30	0.6612792253
31	0.660954664
32	0.6605207755
33	0.6600423389
34	0.6596914016
35	0.6593232514
36	0.658861637
37	0.6584564108
38	0.6579700615
39	0.6576396186
40	0.6572778995
41	0.656937324
42	0.6566313687
43	0.6562520415
44	0.656004021
45	0.6557640601
46	0.6554094364
47	0.6551233955
48	0.6548252757
49	0.6545282961
50	0.6541831714
51	0.6540013246
52	0.6537377704
53	0.653469501
54	0.6531391243
55	0.6528374115
56	0.6525701508
57	0.6524211102
58	0.6522178524
59	0.6519620895
60	0.6517264651
61	0.6515421514
62	0.6512673246
63	0.6510366725
64	0.6508159017
65	0.6506169021
66	0.650402396
67	0.6501793624
68	0.6499920161
69	0.6498341796
70	0.6496301097
71	0.6494913769
72	0.6493435432
73	0.6491343577
74	0.6489348952
75	0.6487310967
76	0.6485479836
77	0.648351857
78	0.6482049064
79	0.6480694745
80	0.6478419544
81	0.6476472009
82	0.6474694699
83	0.6472133217
84	0.6470164924
85	0.6468425703
86	0.6466772792
87	0.6465188537
88	0.6462936695
89	0.6461098339
90	0.6459155292
91	0.6456591148
92	0.6455264988
93	0.6453977356
94	0.6452642509
95	0.6450613859
96	0.6449064878
97	0.6447706787
98	0.6446266688
99	0.6445147627
100	0.6443833367
101	0.6441751861
102	0.6440133653
103	0.6439140398
104	0.6437784655
105	0.6436583795
106	0.6435076232
107	0.6433676563
108	0.6432459159
109	0.6431126002
110	0.6429739657
111	0.6428491832
112	0.6427494023
113	0.6426139172
114	0.6424896099
115	0.6423324592
116	0.6422315782
117	0.6420229465
118	0.6418574379
119	0.6417226641
120	0.6415713138
121	0.6414337267
122	0.6413249592
123	0.6411983992
124	0.6410597263
125	0.6408550687
126	0.6406954313
127	0.6405804293
128	0.6403828852
129	0.6402671405
130	0.6401413213
131	0.6400411845
132	0.6399382261
133	0.6397829227
134	0.6396617813
135	0.6395815048
136	0.6394877071
137	0.6392810491
138	0.6391751881
139	0.6390508568
140	0.6389642857
141	0.638827887
142	0.6387218074
143	0.6385573973
144	0.6384437182
145	0.6382853658
146	0.6381310577
147	0.6379569318
148	0.6378759535
149	0.6377620844
150	0.6376423183
151	0.6375424068
152	0.6374173159
153	0.6373531105
154	0.6372509808
155	0.6371324449
156	0.637057898
157	0.6369372942
158	0.6368196375
159	0.6366687817
160	0.6364837741
161	0.6363926541
162	0.6362680317
163	0.6361754391
164	0.6360793267
165	0.6359662817
166	0.6358465037
167	0.6357294429
168	0.6356161213
169	0.6355143849
170	0.6354152901
171	0.6352923032
172	0.6351564804
173	0.6350114585
174	0.6348704198
175	0.6347250653
176	0.6345440626
177	0.6344073103
178	0.6342863828
179	0.6341793778
180	0.6340537165
181	0.6339431149
182	0.6338205003
183	0.6337073733
184	0.6335907749
185	0.6334890679
186	0.6333414285
187	0.6332046742
188	0.6330919727
189	0.6329672036
190	0.6328180271
191	0.6326600088
192	0.6325063446
193	0.6323428901
194	0.6322370014
195	0.6321347633
196	0.6319842317
197	0.631817291
198	0.6317090551
199	0.6315706946
200	0.6314383147
201	0.63134338
202	0.6311985672
203	0.6310927556
204	0.6309529878
205	0.6308522
206	0.6307297462
207	0.6306128978
208	0.6304619556
209	0.6303239278
210	0.6301351685
211	0.629999579
212	0.6298803092
213	0.6297282547
214	0.6296437056
215	0.6295086111
216	0.629368842
217	0.6292496062
218	0.6291035568
219	0.6289730314
220	0.6288581238
221	0.6287178877
222	0.6285715409
223	0.6284262598
224	0.6283341633
225	0.6281697065
226	0.6280312327
227	0.6278892767
228	0.6277715768
229	0.6276018538
230	0.6274575114
231	0.6273233373
232	0.6272061097
233	0.6270875597
234	0.6269598301
235	0.6268296953
236	0.6266951676
237	0.6266204195
238	0.6265298313
239	0.6263812291
240	0.6262841448
241	0.626169728
242	0.6260508518
243	0.6259121107
244	0.6257073608
245	0.6256132623
246	0.6254913947
247	0.6253550651
248	0.6252262307
249	0.6250791738
250	0.6249327169
251	0.6247919482
252	0.6246268105
253	0.6244521247
254	0.6243033006
255	0.624136757
256	0.6239982998
257	0.6238849699
258	0.623775251
259	0.6236332938
260	0.6235281287
261	0.6233608769
262	0.6232617716
263	0.6231707979
264	0.6230471363
265	0.6229317934
266	0.6228038642
267	0.6226631867
268	0.6225699999
269	0.6224205644
270	0.6222889788
271	0.6221752403
272	0.6220208871
273	0.6218814407
274	0.6217260809
275	0.6215744047
276	0.6213987699
277	0.6212403844
278	0.6211494761
279	0.6210229504
280	0.6208803047
281	0.6207382222
282	0.6206295381
283	0.6205000447
284	0.6203314102
285	0.6201504406
286	0.6200720952
287	0.6199184975
288	0.6198231153
289	0.6197282257
290	0.6195307768
291	0.6194208089
292	0.6192875254
293	0.6191937897
294	0.6190811524
295	0.6189607637
296	0.6188644677
297	0.6187440529
298	0.6186350049
299	0.6185246781
300	0.6184310315
301	0.618332045
302	0.618238796
303	0.6181037856
304	0.6179848241
305	0.6178947591
306	0.6178113076
307	0.6177340011
308	0.6176073604
309	0.6174617514
310	0.6173410523
311	0.6171815987
312	0.6170712606
313	0.6169599343
314	0.6168163724
315	0.6166941262
316	0.6166352516
317	0.6164885228
318	0.6163883257
319	0.6162647114
320	0.6161544812
321	0.6160265831
322	0.6159017487
323	0.6158137472
324	0.615697503
325	0.6155659245
326	0.6154268071
327	0.615319757
328	0.6152435354
329	0.615068776
330	0.6149634956
331	0.6148565682
332	0.6147531431
333	0.6146469268
334	0.6145330998
335	0.6144105527
336	0.6142993023
337	0.614216777
338	0.6141511298
339	0.6140311998
340	0.6138804398
341	0.6137545238
342	0.6136365449
343	0.613509053
344	0.6134026166
345	0.6132778913
346	0.6131647161
347	0.613046488
348	0.6129318576
349	0.6128677979
350	0.6127601692
351	0.6126124328
352	0.612529125
353	0.6124484295
354	0.6122985153
355	0.6121961625
356	0.6121277177
357	0.6120144093
358	0.6118764945
359	0.6117997902
360	0.6117059679
361	0.6116065665
362	0.6115352722
363	0.6114143509
364	0.6113201617
365	0.6112221013
366	0.6110756894
367	0.6109689853
368	0.6108260778
369	0.6107379291
370	0.6106233786
371	0.6105213492
372	0.6104168617
373	0.610311403
374	0.6101980191
375	0.6101336803
376	0.6100341518
377	0.6099241879
378	0.6097811763
379	0.6097017904
380	0.6095954489
381	0.6094846328
382	0.6093759031
383	0.6092605034
384	0.6091551593
385	0.6090684712
386	0.6089425124
387	0.6088666027
388	0.6087561312
389	0.6086632065
390	0.6085520252
391	0.6084155008
392	0.6083214276
393	0.608203243
394	0.6081024963
395	0.6080293443
396	0.6079223813
397	0.6078333276
398	0.6077258676
399	0.6076176059
400	0.6075261678
401	0.6074163796
402	0.6072901861
403	0.6071920624
404	0.607085091
405	0.6070039099
406	0.6069093636
407	0.6068042603
408	0.6066953655
409	0.6066149074
410	0.6065229758
411	0.6064392181
412	0.6063302827
413	0.606205207
414	0.606079639
415	0.6059699965
416	0.6058658492
417	0.6057631941
418	0.6056654438
419	0.6055586765
420	0.6054368992
421	0.6053583336
422	0.6052744827
423	0.6051564828
424	0.6050763731
425	0.6049671948
426	0.6049227057
427	0.6048385674
428	0.6047171146
429	0.6046165333
430	0.6045165608
431	0.604419268
432	0.6043087492
433	0.6042014022
434	0.6040949453
435	0.6039848003
436	0.6038975387
437	0.6038246103
438	0.603713973
439	0.6036328854
440	0.6035446663
441	0.6034548121
442	0.603358448
443	0.6032614497
444	0.6031779986
445	0.6030736927
446	0.6029774557
447	0.6028700205
448	0.602737882
449	0.6026342583
450	0.6025619876
451	0.6024458789
452	0.6023345182
453	0.6022632864
454	0.6021520191
455	0.6020698394
456	0.6019619283
457	0.6018680623
458	0.6017572539
459	0.601631601
460	0.6015567767
461	0.6014659623
462	0.6013557717
463	0.6012485405
464	0.6011251531
465	0.6010573489
466	0.6009679401
467	0.600901262
468	0.6008512529
469	0.600750462
470	0.6006761148
471	0.6005277001
472	0.6004308222
473	0.600314953
474	0.6001785574
475	0.6000863475
476	0.5999774954
477	0.5999000344
478	0.5998112262
479	0.5996880225
480	0.5996076654
481	0.5995341866
482	0.5994539569
483	0.5993779116
484	0.5992814848
485	0.599179856
486	0.5991165492
487	0.5990205325
488	0.5988964104
489	0.5988194472
490	0.5987152866
491	0.598636046
492	0.5985189164
493	0.5984193074
494	0.5983721776
495	0.5982946487
496	0.5982209676
497	0.5981263699
498	0.5980352071
499	0.5979842971
500	0.5979125799
501	0.5977992055
502	0.5977207099
503	0.5976374573
504	0.5975696299
505	0.5974481593
506	0.5973500759
507	0.5972373619
508	0.5971421747
509	0.5970232763
510	0.59691522
511	0.596813819
512	0.5967342127
513	0.596648589
514	0.5965738511
515	0.5964727846
516	0.5963792088
517	0.5962456965
518	0.5961625879
519	0.5960779521
520	0.5960154345
521	0.5958884774
522	0.5958031934
523	0.5957239989
524	0.5956121362
525	0.5955386107
526	0.5954978553
527	0.5954028269
528	0.5953505108
529	0.5952552401
530	0.5951489635
531	0.5950489394
532	0.5949679184
533	0.5948837514
534	0.5947839999
535	0.5947053038
536	0.5945880012
537	0.5944548124
538	0.5943459316
539	0.594239454
540	0.5941247753
541	0.5940318209
542	0.5939883681
543	0.5938857222
544	0.5937755187
545	0.5937087286
546	0.593609245
547	0.593548758
548	0.5934551759
549	0.5933748751
550	0.5932644237
551	0.5931737322
552	0.5930593469
553	0.5929980391
554	0.59290204
555	0.5928305429
556	0.5927621405
557	0.5926139775
558	0.5925323423
559	0.5924556663
560	0.5923590819
561	0.5922922874
562	0.5922328592
563	0.5920965044
564	0.5920176938
565	0.5919449196
566	0.5918384826
567	0.5917348342
568	0.5916727894
569	0.591590612
570	0.5915025405
571	0.5914045849
572	0.5913085593
573	0.5912289559
574	0.5911301613
575	0.5910564167
576	0.5909541139
577	0.5908435638
578	0.5907474916
579	0.5906668092
580	0.5905900895
581	0.5905143019
582	0.5904422088
583	0.5903685985
584	0.5903104041
585	0.5901889462
586	0.5900864826
587	0.5899991394
588	0.5899107605
589	0.5898290903
590	0.5897630264
591	0.589663239
592	0.5895598501
593	0.5894732559
594	0.5894173998
595	0.5893343947
596	0.5892311801
597	0.5891551396
598	0.5890524171
599	0.5889795772
600	0.5888874052
601	0.5888331451
602	0.5887077157
603	0.5886422044
604	0.5885471211
605	0.5884385778
606	0.5883531645
607	0.5882231505
608	0.5881467336
609	0.5880623177
610	0.5879987126
611	0.5879049209
612	0.5877938336
613	0.5876990442
614	0.5876334809
615	0.5875320446
616	0.5874794518
617	0.587431256
618	0.5873130322
619	0.5871990138
620	0.587117391
621	0.5870224496
622	0.5869749269
623	0.5868746132
624	0.5867882851
625	0.5866949133
626	0.5866106681
627	0.5865131344
628	0.5864045448
629	0.5863140153
630	0.5862737812
631	0.5861791366
632	0.5860845422
633	0.585984878
634	0.5859130935
635	0.5858306244
636	0.585735559
637	0.5856381168
638	0.5855935764
639	0.5855378016
640	0.585446115
641	0.5853317599
642	0.5852562772
643	0.5851644207
644	0.5850912664
645	0.5850226097
646	0.5849354508
647	0.5848532969
648	0.5847677243
649	0.5846693029
650	0.5846081191
651	0.584511716
652	0.5844358397
653	0.5843214789
654	0.5842483167
655	0.5841774314
656	0.5841404642
657	0.5840465889
658	0.5839516844
659	0.5838369327
660	0.5837594531
661	0.5837007213
662	0.5836252835
663	0.5835580218
664	0.5834400875
665	0.5833101069
666	0.5832268861
667	0.5831315754
668	0.5830519056
669	0.5829844983
670	0.5829187374
671	0.5828307517
672	0.582741541
673	0.5826727723
674	0.5826059229
675	0.5825266138
676	0.5824160376
677	0.582310275
678	0.5822212419
679	0.5821481641
680	0.5820625516
681	0.5819858998
682	0.581903331
683	0.5818015991
684	0.5817413607
685	0.5816716779
686	0.5815702036
687	0.5814316269
688	0.5813740121
689	0.5813195147
690	0.5812279143
691	0.5810857915
692	0.5809915536
693	0.5809594075
694	0.5808879408
695	0.5808395174
696	0.5807526527
697	0.5806698943
698	0.5806049446
699	0.5805427378
700	0.5804857772
701	0.5803692202
702	0.5803055006
703	0.5802166303
704	0.5800930962
705	0.5800137512
706	0.579936404
707	0.5798620021
708	0.5797733036
709	0.57969564
710	0.5796180863
711	0.5795646238
712	0.5794563969
713	0.5793494963
714	0.5792901464
715	0.5792194042
716	0.5791491279
717	0.5790693233
718	0.5789601943
719	0.5788962979
720	0.5788013132
721	0.5787513941
722	0.5786859474
723	0.5785696541
724	0.5785015834
725	0.5784457
726	0.5783920609
727	0.5782980331
728	0.5781821991
729	0.5780856931
730	0.5779878293
731	0.5779237291
732	0.5778520612
733	0.5777321511
734	0.5776263446
735	0.5775349807
736	0.5774701685
737	0.5773633629
738	0.5772766586
739	0.5771659048
740	0.5770961419
741	0.577008666
742	0.5768891111
743	0.5768332262
744	0.5767690314
745	0.5767015574
746	0.5766310878
747	0.5765159807
748	0.5764524676
749	0.5764026593
750	0.5762988418
751	0.5762405716
752	0.5761333755
753	0.5760371985
754	0.5759345317
755	0.5758483447
756	0.5757565063
757	0.5756758923
758	0.5756060768
759	0.5755120469
760	0.5754297111
761	0.5753546252
762	0.5752856881
763	0.575209284
764	0.5751152446
765	0.575069477
766	0.5750012401
767	0.5749383566
768	0.5748749781
769	0.5747593611
770	0.5746806941
771	0.5745680703
772	0.5744711805
773	0.5744035964
774	0.5743025944
775	0.574216777
776	0.57414752
777	0.5740394662
778	0.5739549329
779	0.5738882164
780	0.5738457597
781	0.5737566895
782	0.5736921819
783	0.5736028305
784	0.5735251747
785	0.5734341097
786	0.5733409552
787	0.5732376283
788	0.5731665869
789	0.5730833268
790	0.572965489
791	0.5728638672
792	0.5727908871
793	0.5727235313
794	0.5726425977
795	0.5725571681
796	0.5724651365
797	0.5723876577
798	0.5722894557
799	0.5722343332
800	0.572127752
801	0.5720570757
802	0.5719859192
803	0.5718843196
804	0.5717970682
805	0.5717157848
806	0.5716125249
807	0.571580469
808	0.5714793909
809	0.5713763148
810	0.5712890298
811	0.5711980437
812	0.5711042566
813	0.5710020742
814	0.5709191245
815	0.5708605024
816	0.5707646959
817	0.5706878526
818	0.5705955269
819	0.5705547505
820	0.5704855855
821	0.5703998772
822	0.5703380139
823	0.5703020757
824	0.5702045061
825	0.5701148759
826	0.5700605099
827	0.5699692689
828	0.5699003166
829	0.5698514739
830	0.5697968862
831	0.5697216039
832	0.5695850701
833	0.5695294558
834	0.5694619201
835	0.5693724107
836	0.5692788619
837	0.5691799021
838	0.5691358439
839	0.5690573562
840	0.568979253
841	0.5689287465
842	0.5688688681
843	0.5688025715
844	0.5687243445
845	0.56862327
846	0.5685793313
847	0.5684668659
848	0.5683967197
849	0.5683182408
850	0.5682143819
851	0.5681560621
852	0.5681087429
853	0.5680135592
854	0.5679308466
855	0.5678461403
856	0.5677908138
857	0.5677267191
858	0.5676785756
859	0.5676040557
860	0.5675174568
861	0.5674358993
862	0.5673632341
863	0.5672927142
864	0.5671710566
865	0.5670856316
866	0.5670099645
867	0.5669338415
868	0.5668275239
869	0.5667518311
870	0.5666518391
871	0.5666119072
872	0.5665685177
873	0.5664909106
874	0.5664035089
875	0.5662909904
876	0.5662154121
877	0.5661224055
878	0.5660681325
879	0.5659646497
880	0.5659062832
881	0.5658135125
882	0.5657331257
883	0.565645524
884	0.565601049
885	0.565545102
886	0.5654756814
887	0.5653981232
888	0.5653058978
889	0.565242687
890	0.565138598
891	0.5650870893
892	0.5650172181
893	0.5649344423
894	0.5648620341
895	0.5647794837
896	0.5646797129
897	0.5645549595
898	0.5644667581
899	0.5644091473
900	0.5643258168
901	0.5642668157
902	0.564163456
903	0.5640910752
904	0.5640089999
905	0.5639251971
906	0.5638797925
907	0.563791727
908	0.563744663
909	0.5636783058
910	0.5635746645
911	0.5634688128
912	0.5633654658
913	0.5632876498
914	0.5632192035
915	0.563157486
916	0.5630571119
917	0.562992587
918	0.5629177434
919	0.5628157809
920	0.5627802383
921	0.562715228
922	0.562624508
923	0.562562487
924	0.5624814974
925	0.562432425
926	0.5622836503
927	0.5622387526
928	0.562171054
929	0.5620731653
930	0.5620193462
931	0.5619118993
932	0.5618435717
933	0.561768949
934	0.5616663297
935	0.5616010651
936	0.5615497853
937	0.5614542086
938	0.5613726308
939	0.5613231905
940	0.5612529876
941	0.5611668994
942	0.5611095031
943	0.5610188988
944	0.5609296263
945	0.5608487127
946	0.5607610351
947	0.5606606273
948	0.560592115
949	0.5605007088
